student_id,cohort_year,species,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills
0,1046-47,Dwarf,slate,male,Jarn,Dowelturn,Jarn Dowelturn,18,academic,3,physical_disability,0.6467983561008608,0.7645209030420498,0.5598528437324806,0.5803345035229626,0.7624217733388137,0.762004878722109,0.4679355849998042,0.767496376676186,0.4953968484553228,0.5286149594260855,0.4882487399436795,0.5658370727162736,0.836209829251997
1,1046-47,Elf,palm,male,Jaro,Breakwave,Jaro Breakwave,18,academic,6,no_known_disabilities,1.0,0.5820457481218803,0.8305095587111947,0.748553073033381,0.3603165563345655,0.5217727614853495,0.7899213734559909,0.5207054743129386,0.9072278327016442,0.915747501830386,0.8865639548751579,0.7061869019374762,0.6710133997596627
2,1046-47,Dwarf,bismuth,female,Zellie,Scribeglint,Zellie Scribeglint,18,academic,7,no_known_disabilities,0.9798073522301258,0.4516566351370807,0.7946384285364502,0.7120572031542851,0.7687021504122962,0.9021523815971572,0.7494412349004979,0.5659659910277028,0.9169060926407474,0.8467398544958907,0.6862836916682432,0.9121118879767952,0.4027914015369366
3,1046-47,Dwarf,malachite,male,Garrun,Glowhammer,Garrun Glowhammer,18,academic,7,physical_disability,1.0,0.8123230572872187,0.573114876910689,0.8266653415629146,0.5186394496474868,0.7768193382371101,0.89673270245023,0.6792191060488595,0.8258018604968033,0.7513904261062382,0.7094609482065821,0.8334822006297559,0.8645484772993314
4,1046-47,Dwarf,flint,neuter,Doni,Ironclout,Doni Ironclout,18,vocational,7,no_known_disabilities,0.6609056876685533,0.7590888807137881,0.8415346248162882,0.5887341884826334,0.5255346887476092,0.654394772669994,0.5801646820459833,0.8314193486192474,0.5435022398234457,0.7057823179449292,0.7242123757098973,0.5768229739892828,0.8394523535795401
5,1046-47,Elf,yew,female,Elindra,Sealbough,Elindra Sealbough,18,academic,7,no_known_disabilities,0.8532693085526847,0.7541469572319639,0.6036279174897842,0.3679487325593814,0.6435518371228349,0.6440352492843763,0.7662380248466035,0.8927909592942643,0.7304387639117381,0.7031328890650086,0.6151256641327767,0.7805180666293164,0.7945477737089697
6,1046-47,Elf,baobab,male,Aerion,Ceremleaf,Aerion Ceremleaf,18,academic,7,physical_disability,0.9195662565581236,0.9409643589489384,0.4527591154849889,0.3304414628598096,0.6490505307324168,0.7176395965067806,0.536084619822326,0.8586466644543095,0.6341966923805509,0.7205761705891645,0.5736852225839216,0.768184350855265,0.6030586966032235
7,1046-47,Dwarf,sandstone,male,Drek,Sandfellow,Drek Sandfellow,18,academic,3,autistic_spectrum,0.8842317087322566,0.657294789929436,0.6936416887721503,0.6531332038221147,0.5321375753058744,0.796575911241178,0.7545192797172061,0.6218769735143448,0.7675405540659869,0.7614246162130597,0.9173749388980676,0.6664399739205304,0.6712283747020646
8,1046-47,Elf,baobab,male,Thareon,Diademshade,Thareon Diademshade,18,academic,7,no_known_disabilities,0.738077553279348,0.95,0.6930340184037541,0.5601216955740311,0.6239721657669415,0.7631666521138022,0.512112219545213,0.8281022283123821,0.5979795683800542,0.6958458836101874,0.4447155043707524,0.7282564073388956,0.5989987106197222
9,1046-47,Dwarf,sandstone,female,Elsha,Pathstitch,Elsha Pathstitch,18,academic,2,dyslexia,1.0,0.6912289704494619,1.0,0.8927556238387604,0.3548901044903585,0.7171821100602656,0.6952623417730647,0.7005345046551119,0.9225793833391538,0.7608708105022802,0.8723441492468705,0.733920012485558,0.5934421938952934
10,1046-47,Dwarf,obsidian,female,Enali,Chantgrave,Enali Chantgrave,18,academic,7,no_known_disabilities,0.8601822005797424,0.906638175203302,0.5610973578140072,0.5422521487261975,0.4793502481953004,0.9370267092512776,0.7095274769809441,0.5960645831422041,0.8271191362336662,0.922339346739356,0.5225607136433573,0.9325114528243272,0.4781396846677852
11,1046-47,Dwarf,slate,female,Yslin,Threadset,Yslin Threadset,18,academic,6,adhd,0.7587373404367889,0.6173403252187912,0.430233400413228,0.4054665476954649,0.5783328882267785,0.7369184580141366,0.6325970765497257,0.9030185588611416,0.4461707071377682,0.6374791597815138,0.5259472282639218,0.6281147961195842,0.9513476313624136
