race,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,base_openness,base_conscientiousness,base_extraversion,base_agreeableness,base_neuroticism,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills,student_id,program_code,program_name,faculty,department,year1_modules,num_year1_modules,clan_affinity,selection_probability
Dwarf,sandstone,male,Orlin,Rambleforge,Orlin Rambleforge,18,no_qualifications,1,"mental_health_disability,adhd,wheelchair_user",0.7337498258560773,0.5299924747454009,0.7377746675897602,0.7001125833417066,0.2428600453765822,0.8837498258560772,0.2299924747454009,0.83777466758976,0.7001125833417066,0.6428600453765823,0.5001811778343864,0.743688460200788,0.5629920219907026,0.9519098931264534,0.7317275612352037,0.90576554810624,0.7744364903031636,0.6081490230654031,0,1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,"Foundations of Permaculture and Ecological Design,Soil as System: Chemistry, Life, and Lore,Agroecology in Practice",3,0.05,0.050009058891719325
Dwarf,malachite,neuter,Lomni,Deepforge,Lomni Deepforge,18,no_qualifications,5,physical_disability,0.6293016342019151,0.8710582566280392,0.5320457481218803,0.6366114704534336,0.348553073033381,0.679301634201915,0.8210582566280391,0.6320457481218803,0.6366114704534336,0.5485530730333811,0.7713023981466329,0.8204452403819241,0.5811189789840548,0.7022679087641819,0.7721999697749706,0.7789520766425739,0.7892808287589094,0.8742460021159111,1,1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,"Foundations of Permaculture and Ecological Design,Soil as System: Chemistry, Life, and Lore,Agroecology in Practice",3,0.9,0.9135651199073317
Dwarf,malachite,male,Drogan,Alloycloak,Drogan Alloycloak,18,academic,3,,0.7270204442119109,0.7987203795438924,0.4880464524154114,0.6042239468145253,0.2596527212266415,0.9270204442119108,0.8487203795438923,0.5880464524154114,0.6042239468145253,0.3096527212266415,0.92921445703221,0.9377594683213653,0.6617819232101693,0.6943013509917528,0.7939157089734559,0.6168913631492273,0.8848346223583485,0.851505661076164,2,2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Histories and Futures of Hospitality,The Host as Educator and Healer",2,0.6,0.6214607228516105
Dwarf,flint,male,Kragg,Flintroot,Kragg Flintroot,18,vocational,7,mental_health_disability,0.5525712073494108,0.8722699421778279,0.5747876687446625,0.4231148769106889,0.5266653415629146,0.5025712073494109,0.8222699421778279,0.4247876687446624,0.4231148769106889,0.9766653415629146,0.4652425715760858,0.5606920364536514,0.7442458336967683,0.6419009339489221,0.7584762957118442,0.4945644060338234,0.5534813115082108,0.8948386446900997,3,1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,"Foundations of Permaculture and Ecological Design,Soil as System: Chemistry, Life, and Lore,Agroecology in Practice",3,0.95,0.9482621285788042
Dwarf,flint,male,Drask,Cragburrow,Drask Cragburrow,18,academic,4,no_known_disabilities,0.4656292658719211,0.7674306006052023,0.6211508513174122,0.3194676741326944,0.3761746241803034,0.6656292658719211,0.8174306006052022,0.7211508513174122,0.3194676741326944,0.4261746241803034,0.4559990579603348,0.5928431042316908,0.6885195115134879,0.6685623960670314,0.6576531169210036,0.8171420274001941,0.536210259320558,0.9542078410434276,4,2.2.18,Herbal Practice and Energy Work,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Plant Allies: Identification, Ethics, and Harvesting,Introduction to Energy Work: Hands, Breath, Field",2,0.8,0.8166519040493656
Elf,holly,male,Corlen,Boughchant,Corlen Boughchant,18,academic,5,,0.7772678829564725,0.8693910904605706,0.3049763486783568,0.7536279174897843,0.3679487325593814,0.9772678829564724,0.9193910904605704,0.4049763486783568,0.7536279174897843,0.4179487325593813,0.7605596626072368,0.9048059433396438,0.7010531659556946,0.7695958971842186,0.8155327465053873,0.6603395497903679,0.8929179240696952,0.8110721870318303,5,2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Histories and Futures of Hospitality,The Host as Educator and Healer",2,0.8,0.8130279831303618
Elf,holly,female,Aeriel,Dewscroll,Aeriel Dewscroll,18,academic,6,physical_disability,0.8695662565581238,0.8516072649148975,0.3027591154849889,0.6304414628598096,0.4990505307324167,1.0,0.9016072649148974,0.4027591154849889,0.6304414628598096,0.6490505307324168,0.8137038871033764,0.766084619822326,0.5688782919215616,0.8397400667247387,0.8286195449333521,0.7686852225839216,0.8762277251994526,0.7786041175539843,6,4.2.36,Ritual and Recollection,Faculty of Living Lore,Oral Histories and Memorycraft,"Memory as Method: Ritual, Repetition, Refrain,Personal and Collective Recollection Practices",2,0.9,0.9156851943551688
Dwarf,alabaster,female,Tirra,Gracestone,Tirra Gracestone,18,academic,4,no_known_disabilities,0.6497580139654258,0.671601259762755,0.4305662042918927,0.6130811315263301,0.6983651532392023,0.8497580139654257,0.7216012597627549,0.5305662042918927,0.6130811315263301,0.7483651532392024,0.7910027541215378,0.8973114801147994,0.4322049022430009,0.5991797268957453,0.7692045047613527,0.6747859766884221,0.6858085312104903,0.5107473025019571,7,2.4.26,Ancient Rites,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Rites of the Ancients: Elven, Dwarven, and Beyond,Reading Ritual Traces in Landscape and Object",2,0.05,0.0645501377060769
Dwarf,slate,female,Thernis,Greylatch,Thernis Greylatch,18,academic,5,no_known_disabilities,0.488077553279348,0.9023402888696284,0.4430340184037542,0.660121695574031,0.6739721657669413,0.6880775532793479,0.95,0.5430340184037542,0.660121695574031,0.7239721657669413,0.5541500749817149,0.4272166261821674,0.8692801681978974,0.4290166486715013,0.5569259091235003,0.4609763798568167,0.749805821257518,0.8773731541245265,8,4.1.34,Comparative Runes and Scripts,Faculty of Living Lore,Language and Symbol,"Introduction to Runic Systems: Function, Form, Origin,Scripts as Tools and Talismans",2,0.45,0.45270750374908575
Elf,ash,female,Elsha,Emberthorn,Elsha Emberthorn,18,academic,1,no_known_disabilities,0.8098536632301582,0.5415059277253405,0.539823626672891,0.6908610601342476,0.6143785312539856,1.0,0.5915059277253404,0.7398236266728909,0.6908610601342476,0.5643785312539856,0.8006317709255392,0.7224253574987382,0.7359975620863003,0.7491257610692228,0.9595058974842728,0.5382972009747837,0.819811163148223,0.5567445270652813,9,4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,"Oral Histories: Ethics, Skills, and Power Dynamics,The Storyweaver’s Craft: Listening, Shaping, Returning",2,0.4,0.4612564869634399
