species,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,base_openness,base_conscientiousness,base_extraversion,base_agreeableness,base_neuroticism,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills,academic_year,student_id
Dwarf,slate,neuter,Mern,Dowelturn,Mern Dowelturn,18,academic,3,physical_disability,0.4467983561008608,0.7145209030420498,0.45985284373248053,0.5803345035229626,0.6124217733388136,0.6467983561008608,0.7645209030420498,0.5598528437324806,0.5803345035229626,0.7624217733388137,0.762004878722109,0.4679355849998042,0.767496376676186,0.49539684845532284,0.5286149594260855,0.48824873994367957,0.5658370727162736,0.836209829251997,1046-47,0
Elf,palm,male,Jaro,Breakwave,Jaro Breakwave,18,academic,5,no_known_disabilities,0.8052699079536471,0.5320457481218803,0.7305095587111947,0.748553073033381,0.3103165563345655,1.0,0.5820457481218803,0.8305095587111947,0.748553073033381,0.3603165563345655,0.5217727614853495,0.7899213734559909,0.5207054743129386,0.9072278327016442,0.9157475018303859,0.8865639548751579,0.7061869019374762,0.6710133997596627,1046-47,1
Dwarf,bismuth,female,Zellie,Scribeglint,Zellie Scribeglint,18,academic,7,no_known_disabilities,0.8298073522301259,0.4016566351370807,0.7446384285364502,0.7120572031542851,0.6187021504122961,0.9798073522301258,0.4516566351370807,0.7946384285364502,0.7120572031542851,0.7687021504122962,0.9021523815971573,0.7494412349004979,0.5659659910277028,0.9169060926407474,0.8467398544958907,0.6862836916682432,0.9121118879767951,0.40279140153693666,1046-47,2
Dwarf,malachite,male,Garrun,Glowhammer,Garrun Glowhammer,18,academic,7,physical_disability,0.8722699421778279,0.7623230572872187,0.5231148769106889,0.8266653415629146,0.26863944964748676,1.0,0.8123230572872187,0.573114876910689,0.8266653415629146,0.5186394496474868,0.7768193382371101,0.89673270245023,0.6792191060488595,0.8258018604968033,0.7513904261062382,0.7094609482065821,0.8334822006297559,0.8645484772993314,1046-47,3
Dwarf,flint,neuter,Doni,Ironclout,Doni Ironclout,18,academic,7,no_known_disabilities,0.6109056876685534,0.7090888807137882,0.7915346248162882,0.5887341884826334,0.3755346887476092,0.7609056876685533,0.7590888807137881,0.8415346248162882,0.5887341884826334,0.5255346887476092,0.654394772669994,0.5801646820459833,0.8314193486192474,0.5535022398234457,0.7157823179449292,0.7242123757098973,0.5868229739892828,0.8394523535795401,1046-47,4
Elf,yew,female,Elindra,Sealbough,Elindra Sealbough,18,academic,7,no_known_disabilities,0.7032693085526848,0.704146957231964,0.5536279174897842,0.3679487325593814,0.4935518371228349,0.8532693085526847,0.7541469572319639,0.6036279174897842,0.3679487325593814,0.6435518371228349,0.6440352492843763,0.7662380248466035,0.8927909592942643,0.7304387639117381,0.7031328890650086,0.6151256641327767,0.7805180666293164,0.7945477737089697,1046-47,5
Elf,baobab,male,Aerion,Ceremleaf,Aerion Ceremleaf,18,academic,7,physical_disability,0.7695662565581238,0.8909643589489384,0.40275911548498894,0.33044146285980963,0.39905053073241675,0.9195662565581237,0.9409643589489384,0.4527591154849889,0.33044146285980963,0.6490505307324168,0.7176395965067806,0.536084619822326,0.8586466644543095,0.6341966923805509,0.7205761705891645,0.5736852225839216,0.768184350855265,0.6030586966032235,1046-47,6
Dwarf,sandstone,male,Drek,Sandfellow,Drek Sandfellow,18,academic,3,autistic_spectrum,0.6842317087322567,0.5072947899294361,0.7936416887721504,0.6531332038221147,0.4821375753058743,0.8842317087322566,0.657294789929436,0.6936416887721503,0.6531332038221147,0.5321375753058744,0.796575911241178,0.7545192797172061,0.6218769735143448,0.7675405540659869,0.7614246162130597,0.9173749388980676,0.6664399739205304,0.6712283747020646,1046-47,7
Elf,baobab,male,Thareon,Diademshade,Thareon Diademshade,18,academic,7,no_known_disabilities,0.5880775532793481,0.921404173321777,0.6430340184037542,0.5601216955740311,0.4739721657669414,0.738077553279348,0.95,0.6930340184037541,0.5601216955740311,0.6239721657669415,0.7631666521138022,0.512112219545213,0.8281022283123821,0.5979795683800542,0.6958458836101874,0.4447155043707524,0.7282564073388956,0.5989987106197222,1046-47,8
Dwarf,sandstone,female,Elsha,Pathstitch,Elsha Pathstitch,18,academic,2,dyslexia,0.7621905364830319,0.691228970449462,0.8178274001167984,0.8927556238387604,0.3548901044903586,1.0,0.6912289704494619,1.0,0.8927556238387604,0.35489010449035857,0.7171821100602656,0.6952623417730647,0.7005345046551119,0.9225793833391538,0.7608708105022802,0.8723441492468705,0.733920012485558,0.5934421938952934,1046-47,9
Dwarf,obsidian,female,Enali,Chantgrave,Enali Chantgrave,18,academic,7,no_known_disabilities,0.7101822005797425,0.8566381752033021,0.5110973578140071,0.5422521487261975,0.32935024819530045,0.8601822005797424,0.906638175203302,0.5610973578140072,0.5422521487261975,0.4793502481953004,0.9370267092512775,0.7095274769809441,0.5960645831422041,0.8271191362336662,0.9223393467393561,0.5225607136433573,0.9325114528243272,0.4781396846677852,1046-47,10
Dwarf,slate,male,Torvik,Threadset,Torvik Threadset,18,academic,6,adhd,0.45873734043678893,0.7173403252187913,0.230233400413228,0.4054665476954649,0.4283328882267785,0.7587373404367889,0.6173403252187912,0.430233400413228,0.4054665476954649,0.5783328882267785,0.7369184580141366,0.6325970765497257,0.9030185588611416,0.4461707071377682,0.6374791597815138,0.5259472282639218,0.6281147961195842,0.9513476313624137,1046-47,11
Elf,yew,male,Vaerion,Deeppledge,Vaerion Deeppledge,18,vocational,7,mental_health_disability,0.77076587200387,0.8263130931119642,0.6479372398323224,0.3960148803091835,0.56865696854886,0.72076587200387,0.7763130931119642,0.4979372398323224,0.3960148803091835,0.9486569685488601,0.7855549378701072,0.6078427086406564,0.8126997155961145,0.5392410771969963,0.7319823636651341,0.6322528743952454,0.7996174237520469,0.63290581307682,1046-47,12
Dwarf,granite,male,Keldrak,Bouldershield,Keldrak Bouldershield,18,academic,6,no_known_disabilities,0.3252320418344992,0.9051453697188679,0.4218289019092581,0.6465580177871069,0.4118726681469489,0.5252320418344992,0.95,0.5218289019092581,0.6465580177871069,0.4618726681469489,0.4783592446918454,0.7131808226368825,0.7247707289534837,0.44421284187715065,0.5194141868880011,0.4378282650713474,0.4377810782165814,0.7748420604232128,1046-47,13
Elf,rowan,neuter,Eiran,Fogwhisper,Eiran Fogwhisper,18,no_qualifications,5,no_known_disabilities,0.9171497820473651,0.5670787515558358,0.8889667618321835,0.703038618672454,0.4909636480122917,0.967149782047365,0.5170787515558357,0.9889667618321835,0.703038618672454,0.5909636480122917,0.7579005130740296,0.9103861586825571,0.678906694355975,0.9395118292142026,0.8707414977650438,0.8905038536303883,0.7843392101494887,0.5408173966375782,1046-47,14
Dwarf,sandstone,female,Zanna,Wayweaver,Zanna Wayweaver,18,no_qualifications,6,no_known_disabilities,0.8094485142059236,0.6608289099032362,0.6928582848858983,0.8441385059120846,0.4054193517661638,0.8594485142059235,0.6108289099032361,0.7928582848858983,0.8441385059120846,0.5054193517661638,0.6893221055959642,0.7105920219174128,0.6995243250580824,0.919011550292029,0.80361059236282,0.8230244604475839,0.7189087518881254,0.5931050125695354,1046-47,15
Dwarf,slate,neuter,Veln,Truelock,Veln Truelock,18,vocational,4,no_known_disabilities,0.5666295116807882,0.8922468537951276,0.4834297189647284,0.6548942172032234,0.4742044305229593,0.6666295116807882,0.9422468537951275,0.5834297189647284,0.6548942172032234,0.5242044305229593,0.7125060768401287,0.6784855025178258,0.7431572025534755,0.3610390056515074,0.5252977540620805,0.5348841485985585,0.7027558165741182,0.9498366505943963,1046-47,16
Dwarf,granite,female,Enna,Keepwright,Enna Keepwright,18,academic,5,no_known_disabilities,0.4176732135299197,0.8656212383035593,0.6712476083481245,0.5044766401069901,0.3541968467479433,0.6176732135299197,0.9156212383035592,0.7712476083481244,0.5044766401069901,0.40419684674794326,0.4643211222629551,0.6262236083928288,0.7463902297067324,0.37090050982408646,0.553415473147815,0.6193871842757768,0.4663313466727354,0.7106955804951286,1046-47,17
Elf,rowan,male,Neren,Cloudwhistle,Neren Cloudwhistle,18,academic,2,no_known_disabilities,0.7102171540666197,0.5506805189216494,0.6835771017095875,0.7442526210691867,0.2266107601271167,1.0,0.6006805189216493,0.8835771017095875,0.7442526210691867,0.17661076012711668,0.8597199899688966,0.7613294659781941,0.5469038906134246,0.9247496705041867,0.8469045970382043,0.9310959259005032,0.8237827279139545,0.5488284667321093,1046-47,18
Elf,holly,female,Sirella,Scrollwarden,Sirella Scrollwarden,18,academic,6,autistic_spectrum,0.7535032326346999,0.8330283713163289,0.3321516034019328,0.7342237100470363,0.4597851799365069,0.9535032326346998,0.95,0.23215160340193278,0.7342237100470363,0.509785179936507,0.8623682236041759,0.8725102658415697,0.6088319092459358,0.6574739639926793,0.8021055044232148,0.6458316196199203,0.8745337715297903,0.7162334914006736,1046-47,19
Dwarf,slate,male,Ernin,Chalklace,Ernin Chalklace,18,vocational,2,no_known_disabilities,0.44585774175529963,0.761489432096127,0.24820441197786672,0.4559701072153917,0.48552855060815414,0.6458577417552996,0.8114894320961269,0.44820441197786676,0.4559701072153917,0.43552855060815415,0.6981778111137916,0.5670808175625092,0.6995681997028915,0.5428438747320044,0.570698898742787,0.39192421211905976,0.6422167057604551,0.907290500012281,1046-47,20
Dwarf,malachite,male,Frunn,Ironcoil,Frunn Ironcoil,24,vocational,8,no_known_disabilities,0.6463088145822606,0.8202850254637043,0.5597768297654757,0.6155470610467281,0.3009812834581762,0.5463088145822605,1.0,0.4597768297654757,0.6155470610467281,0.3509812834581762,0.936587613419991,0.9601941275732814,0.5660003620106474,0.67846543993926,0.8899207661761683,0.740296993126803,0.7142498102510436,0.9672271722627123,1046-47,21
Elf,baobab,male,Toravel,Cloakcypress,Toravel Cloakcypress,18,academic,6,no_known_disabilities,0.5707075238195,0.8950637845580266,0.6723598391387547,0.39485897468894837,0.376492002738517,0.7707075238194999,0.9450637845580265,0.7723598391387547,0.39485897468894837,0.426492002738517,0.7110695356382994,0.6355957248307551,0.9263108303384021,0.4740348963375644,0.8027965754566377,0.5263207091946686,0.7753629346097591,0.5591365483072803,1046-47,22
