student_id,cohort_year,species,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,refined_openness,refined_conscientiousness,refined_extraversion,refined_agreeableness,refined_neuroticism,motivation_academic_drive,motivation_values_based_motivation,motivation_career_focus,motivation_cultural_experience,motivation_personal_growth,motivation_social_connection,motivation_intellectual_curiosity,motivation_practical_skills
0,1046-47,Elf,rowan,male,Coren,Starpetal,Coren Starpetal,18,vocational,4,no_known_disabilities,0.9414043549026326,0.6392867496111831,0.7140087161520859,0.9476568498676988,0.2520477199130965,0.7582441493070338,0.8737326253074322,0.5260006618672652,0.9165903571243084,0.7635134877427966,0.8430025214513612,0.7865796705533746,0.5569255212978763
1,1046-47,Dwarf,flint,female,Ulfa,Ironclout,Ulfa Ironclout,18,vocational,4,no_known_disabilities,0.550263988314291,0.9286634550487208,0.7626263096453766,0.312527559388272,0.5074630519886039,0.6982695427064077,0.5049667615322275,0.7444207335950525,0.610628744545737,0.7979617954964872,0.7378491387385948,0.5960124296448667,0.8736743521348689
2,1046-47,Dwarf,granite,female,Silda,Strongmark,Silda Strongmark,18,academic,7,no_known_disabilities,0.4547346661059503,0.8968891686624393,0.4646738060928117,0.6624312677359994,0.5581273698448401,0.5461298211540868,0.6369363928834382,0.7796203381521706,0.3426698198559971,0.5653207099956193,0.5597926044266319,0.501946831632619,0.7886183672654015
3,1046-47,Elf,baobab,male,Olyrion,Crownweaver,Olyrion Crownweaver,18,academic,7,no_known_disabilities,0.9486094641825789,0.8659935054822748,0.5744823852484237,0.3463860399447392,0.5021238549432936,0.7918839688120378,0.5956114031565136,0.9217294157853037,0.4984125341127853,0.7855339169734039,0.4873403200973105,0.7684427262921512,0.5567565749432919
4,1046-47,Elf,ash,female,Elsha,Cinderwake,Elsha Cinderwake,18,vocational,5,no_known_disabilities,0.9898211610690538,0.7472846932272232,0.652224306850452,0.6045275665366738,0.702318870425279,0.7488806875902055,0.6742323132354375,0.7538208154538825,0.7821654186431366,0.9517351986251296,0.729161367542777,0.863483806564268,0.5913298562669869
5,1046-47,Dwarf,alabaster,neuter,Lomel,Dusktiller,Lomel Dusktiller,18,no_qualifications,1,blind_or_visually_impaired,0.6699520326230535,0.6249178940989987,0.574986828884254,0.8023094028835818,0.4727039721089648,0.6428666382642423,0.8519559452701455,0.6604227782411881,0.6516561822464784,0.7100724272696479,0.7747621975481899,0.718924434394805,0.5506920066960836
6,1046-47,Dwarf,flint,female,Marnie,Rubbletoe,Marnie Rubbletoe,18,academic,1,physical_disability,0.9165892446665956,0.853595860344378,0.9785558938425376,0.5601333724583011,0.6274338906636787,0.7322122864156335,0.5328293778772226,0.7384216463722316,0.7329260137395053,0.6569301506649121,0.5549966337407128,0.5674782984188491,0.8479293505649261
7,1046-47,Dwarf,alabaster,female,Tilda,Steadmarble,Tilda Steadmarble,18,academic,6,no_known_disabilities,0.8486076476897733,0.6842635119759001,0.5752516565438248,0.8635542731439609,0.7040020588528817,0.7755605293318402,0.8592078489081798,0.6208617993956652,0.7959743359202287,0.7060870753074074,0.7475879236412262,0.7628077736236408,0.4381475641272594
8,1046-47,Elf,holly,female,Elenna,Emberhymn,Elenna Emberhymn,18,academic,5,no_known_disabilities,1.0,0.95,0.4878508592117313,0.8860434119214358,0.3864032480267393,0.8540444627883016,0.909615592479048,0.6233169602027218,0.6997584134207809,0.772300167155322,0.6503293022185818,0.8736040451443715,0.6831200945982201
9,1046-47,Elf,yew,male,Eredor,Yewmantle,Eredor Yewmantle,18,academic,4,other_neurodivergence,0.7896309200540156,0.95,0.6289437216271618,0.3734820881801215,0.6373600704936202,0.7979059065276679,0.6144805185765214,0.8854064072502021,0.6185060592077147,0.6640811350534711,0.6520615130846322,0.7765242604906595,0.7990470013864229
